,time[s],T1,T2/T3,pumpe
219,7.300031403252172,0.1,0.0866,0.01
220,7.33336487997935,0.1,0.0866,0.01
221,7.36669835670653,0.1,0.0866,0.01
222,7.400031833433708,0.1,0.0866,0.01
223,7.433365310160887,0.1,0.0866,0.01
224,7.466698786888066,0.1,0.0866,0.01
225,7.500032263615245,0.1,0.0866,0.01
226,7.533365740342424,0.1,0.0866,0.01
227,7.566699217069603,0.1,0.0863,0.01
228,7.6000326937967815,0.1,0.0863,0.01
229,7.633366170523961,0.1,0.0863,0.01
230,7.666699647251139,0.1,0.0863,0.01
231,7.700033123978318,0.1,0.0863,0.01
232,7.733366600705497,0.1,0.0863,0.01
233,7.7667000774326755,0.1,0.0863,0.01
234,7.800033554159855,0.1,0.0863,0.01
235,7.833367030887033,0.1,0.0861,0.01
236,7.866700507614213,0.1,0.0861,0.01
237,7.900033984341391,0.1,0.0861,0.01
238,7.9333674610685705,0.1,0.0861,0.01
239,7.966700937795749,0.1,0.0861,0.01
240,8.000034414522927,0.1,0.0861,0.01
241,8.033367891250107,0.1,0.0861,0.01
242,8.066701367977286,0.1,0.0858,0.01
243,8.100034844704465,0.1,0.0858,0.01
244,8.133368321431643,0.1,0.0858,0.01
245,8.166701798158822,0.1,0.0858,0.01
246,8.200035274886002,0.1,0.0858,0.01
247,8.23336875161318,0.1,0.0858,0.01
248,8.266702228340359,0.1,0.0858,0.01
249,8.300035705067538,0.1,0.0858,0.01
250,8.333369181794717,0.1,0.0855,0.01
251,8.366702658521895,0.1,0.0855,0.01
252,8.400036135249074,0.1,0.0855,0.01
253,8.433369611976254,0.1,0.0855,0.01
254,8.466703088703433,0.1,0.0855,0.01
255,8.50003656543061,0.1,0.0855,0.01
256,8.53337004215779,0.1,0.0855,0.01
257,8.56670351888497,0.1,0.0851,0.01
258,8.600036995612147,0.1,0.0851,0.01
259,8.633370472339326,0.1,0.0851,0.01
260,8.666703949066505,0.1,0.0851,0.01
261,8.700037425793685,0.1,0.0851,0.01
262,8.733370902520862,0.1,0.0851,0.01
263,8.766704379248042,0.1,0.0851,0.01
264,8.800037855975221,0.1,0.0851,0.01
265,8.8333713327024,0.1,0.085,0.01
266,8.866704809429578,0.1,0.085,0.01
267,8.900038286156757,0.1,0.085,0.01
268,8.933371762883937,0.1,0.085,0.01
269,8.966705239611114,0.1,0.085,0.01
270,9.000038716338294,0.1,0.085,0.01
271,9.033372193065473,0.1,0.085,0.01
272,9.066705669792652,0.1,0.0845,0.01
273,9.10003914651983,0.1,0.0845,0.01
274,9.13337262324701,0.1,0.0845,0.01
275,9.166706099974189,0.1,0.0845,0.01
276,9.200039576701368,0.1,0.0845,0.01
277,9.233373053428545,0.1,0.0845,0.01
278,9.266706530155725,0.1,0.0845,0.01
279,9.300040006882904,0.1,0.0845,0.01
280,9.333373483610083,0.1,0.0842,0.01
281,9.366706960337261,0.1,0.0842,0.01
282,9.40004043706444,0.1,0.0842,0.01
283,9.43337391379162,0.1,0.0842,0.01
284,9.466707390518797,0.1,0.0842,0.01
285,9.500040867245977,0.1,0.0842,0.01
286,9.533374343973156,0.1,0.0842,0.01
287,9.566707820700335,0.1,0.084,0.01
288,9.600041297427513,0.1,0.084,0.01
289,9.633374774154692,0.1,0.084,0.01
290,9.666708250881872,0.1,0.084,0.01
291,9.700041727609051,0.1,0.084,0.01
292,9.733375204336228,0.1,0.084,0.01
293,9.766708681063408,0.1,0.084,0.01
294,9.800042157790587,0.1,0.0836,0.01
295,9.833375634517765,0.1,0.0835,0.01
296,9.866709111244944,0.1,0.0835,0.01
297,9.900042587972123,0.1,0.0835,0.01
298,9.933376064699303,0.1,0.0835,0.01
299,9.96670954142648,0.1,0.0835,0.01
300,10.00004301815366,0.1,0.0835,0.01
301,10.033376494880839,0.1,0.0835,0.01
302,10.066709971608018,0.1,0.0833,0.01
303,10.100043448335196,0.1,0.0833,0.01
304,10.133376925062375,0.1,0.0833,0.01
305,10.166710401789555,0.1,0.0833,0.01
306,10.200043878516734,0.1,0.0833,0.01
307,10.233377355243912,0.1,0.0833,0.01
308,10.266710831971091,0.1,0.0833,0.01
309,10.30004430869827,0.1,0.0833,0.01
310,10.333377785425448,0.1,0.0832,0.01
311,10.366711262152627,0.1,0.0832,0.01
312,10.400044738879807,0.1,0.0832,0.01
313,10.433378215606986,0.1,0.0832,0.01
314,10.466711692334163,0.1,0.0832,0.01
315,10.500045169061343,0.1,0.0832,0.01
316,10.533378645788522,0.1,0.0832,0.01
317,10.566712122515701,0.1,0.0828,0.01
318,10.600045599242879,0.1,0.0828,0.01
319,10.633379075970058,0.1,0.0828,0.01
320,10.666712552697238,0.1,0.0828,0.01
321,10.700046029424415,0.1,0.0828,0.01
322,10.733379506151595,0.1,0.0828,0.01
323,10.766712982878774,0.1,0.0828,0.01
324,10.800046459605953,0.1,0.0828,0.01
325,10.833379936333131,0.1,0.0822,0.01
326,10.86671341306031,0.1,0.0822,0.01
327,10.90004688978749,0.1,0.0822,0.01
328,10.933380366514669,0.1,0.0822,0.01
329,10.966713843241847,0.1,0.0822,0.01
330,11.000047319969026,0.1,0.0822,0.01
331,11.033380796696205,0.1,0.0822,0.01
332,11.066714273423385,0.1,0.0818,0.01
333,11.100047750150562,0.1,0.0818,0.01
334,11.133381226877741,0.1,0.0818,0.01
335,11.16671470360492,0.1,0.0818,0.01
336,11.200048180332098,0.1,0.0818,0.01
337,11.233381657059278,0.1,0.0818,0.01
338,11.266715133786457,0.1,0.0818,0.01
339,11.300048610513636,0.1,0.0818,0.01
340,11.333382087240814,0.1,0.0813,0.01
341,11.366715563967993,0.1,0.0813,0.01
342,11.400049040695173,0.1,0.0813,0.01
343,11.433382517422352,0.1,0.0813,0.01
344,11.46671599414953,0.1,0.0813,0.01
345,11.500049470876709,0.1,0.0813,0.01
346,11.533382947603888,0.1,0.0813,0.01
347,11.566716424331066,0.1,0.0809,0.01
348,11.600049901058245,0.1,0.0809,0.01
349,11.633383377785425,0.1,0.0809,0.01
350,11.666716854512604,0.1,0.0809,0.01
351,11.700050331239781,0.1,0.0809,0.01
352,11.73338380796696,0.1,0.0809,0.01
353,11.76671728469414,0.1,0.0809,0.01
354,11.80005076142132,0.1,0.0809,0.01
355,11.833384238148497,0.1,0.0804,0.01
356,11.866717714875676,0.1,0.0804,0.01
357,11.900051191602856,0.1,0.0804,0.01
358,11.933384668330035,0.1,0.0804,0.01
359,11.966718145057213,0.1,0.0804,0.01
360,12.000051621784392,0.1,0.0804,0.01
361,12.033385098511571,0.1,0.0804,0.01
362,12.066718575238749,0.1,0.08,0.01
363,12.100052051965928,0.1,0.08,0.01
364,12.133385528693108,0.1,0.08,0.01
365,12.166719005420287,0.1,0.08,0.01
366,12.200052482147465,0.1,0.08,0.01
367,12.233385958874644,0.1,0.08,0.01
368,12.266719435601823,0.1,0.08,0.01
369,12.300052912329003,0.1,0.08,0.01
370,12.33338638905618,0.1,0.0794,0.01
371,12.36671986578336,0.1,0.0794,0.01
372,12.400053342510539,0.1,0.0794,0.01
373,12.433386819237716,0.1,0.0794,0.01
374,12.466720295964896,0.1,0.0794,0.01
375,12.500053772692075,0.1,0.0794,0.01
376,12.533387249419254,0.1,0.0794,0.01
377,12.566720726146432,0.1,0.0791,0.01
378,12.600054202873611,0.1,0.0791,0.01
379,12.63338767960079,0.1,0.0791,0.01
380,12.66672115632797,0.1,0.0791,0.01
381,12.700054633055148,0.1,0.0791,0.01
382,12.733388109782327,0.1,0.0791,0.01
383,12.766721586509506,0.1,0.0791,0.01
384,12.800055063236684,0.1,0.0791,0.01
385,12.833388539963863,0.1,0.0786,0.01
386,12.866722016691043,0.1,0.0786,0.01
387,12.900055493418222,0.1,0.0786,0.01
388,12.9333889701454,0.1,0.0786,0.01
389,12.966722446872579,0.1,0.0786,0.01
390,13.000055923599758,0.1,0.0786,0.01
391,13.033389400326937,0.1,0.0786,0.01
392,13.066722877054115,0.1,0.0782,0.01
393,13.100056353781294,0.1,0.0782,0.01
394,13.133389830508474,0.1,0.0782,0.01
395,13.166723307235653,0.1,0.0782,0.01
396,13.20005678396283,0.1,0.0782,0.01
397,13.23339026069001,0.1,0.0782,0.01
398,13.26672373741719,0.1,0.0782,0.01
399,13.300057214144367,0.1,0.0782,0.01
400,13.333390690871546,0.1,0.0776,0.01
401,13.366724167598726,0.1,0.0776,0.01
402,13.400057644325905,0.1,0.0776,0.01
403,13.433391121053083,0.1,0.0776,0.01
404,13.466724597780262,0.1,0.0776,0.01
405,13.500058074507441,0.1,0.0776,0.01
406,13.53339155123462,0.1,0.0776,0.01
407,13.566725027961798,0.1,0.0772,0.01
408,13.600058504688977,0.1,0.0772,0.01
409,13.633391981416157,0.1,0.0772,0.01
410,13.666725458143334,0.1,0.0772,0.01
411,13.700058934870514,0.1,0.0772,0.01
412,13.733392411597693,0.1,0.0772,0.01
413,13.766725888324872,0.1,0.0772,0.01
414,13.80005936505205,0.1,0.0772,0.01
415,13.83339284177923,0.1,0.0767,0.01
416,13.866726318506409,0.1,0.0767,0.01
417,13.900059795233588,0.1,0.0767,0.01
418,13.933393271960766,0.1,0.0767,0.01
419,13.966726748687945,0.1,0.0767,0.01
420,14.000060225415124,0.1,0.0767,0.01
421,14.033393702142304,0.1,0.0767,0.01
422,14.066727178869481,0.1,0.0767,0.01
423,14.10006065559666,0.1,0.0765,0.01
424,14.13339413232384,0.1,0.0765,0.01
425,14.166727609051017,0.1,0.0765,0.01
426,14.200061085778197,0.1,0.0765,0.01
427,14.233394562505376,0.1,0.0765,0.01
428,14.266728039232556,0.1,0.0765,0.01
429,14.300061515959733,0.1,0.0765,0.01
430,14.333394992686912,0.1,0.0755,0.01
431,14.366728469414092,0.1,0.0755,0.01
432,14.400061946141271,0.1,0.0755,0.01
433,14.433395422868449,0.1,0.0755,0.01
434,14.466728899595628,0.1,0.0755,0.01
435,14.500062376322807,0.1,0.0755,0.01
436,14.533395853049985,0.1,0.0755,0.01
437,14.566729329777164,0.1,0.0755,0.01
438,14.600062806504344,0.1,0.0755,0.01
439,14.633396283231523,0.1,0.0755,0.01
440,14.6667297599587,0.1,0.0755,0.01
441,14.70006323668588,0.1,0.0755,0.01
442,14.73339671341306,0.1,0.0755,0.01
443,14.766730190140239,0.1,0.0755,0.01
444,14.800063666867416,0.1,0.0755,0.01
445,14.833397143594595,0.1,0.0744,0.01
446,14.866730620321775,0.1,0.0744,0.01
447,14.900064097048954,0.1,0.0744,0.01
448,14.933397573776132,0.1,0.0744,0.01
449,14.966731050503311,0.1,0.0744,0.01
450,15.00006452723049,0.1,0.0744,0.01
451,15.033398003957668,0.1,0.0744,0.01
452,15.066731480684847,0.1,0.0744,0.01
453,15.100064957412027,0.1,0.0744,0.01
454,15.133398434139206,0.1,0.0744,0.01
455,15.166731910866384,0.1,0.0744,0.01
456,15.200065387593563,0.1,0.0744,0.01
457,15.233398864320742,0.1,0.0744,0.01
458,15.266732341047922,0.1,0.0744,0.01
459,15.3000658177751,0.1,0.0744,0.01
460,15.333399294502279,0.1,0.0732,0.01
461,15.366732771229458,0.1,0.0732,0.01
462,15.400066247956635,0.1,0.0732,0.01
463,15.433399724683815,0.1,0.0732,0.01
464,15.466733201410994,0.1,0.0732,0.01
465,15.500066678138174,0.1,0.0732,0.01
466,15.533400154865351,0.1,0.0732,0.01
467,15.56673363159253,0.1,0.0732,0.01
468,15.60006710831971,0.1,0.0732,0.01
469,15.63340058504689,0.1,0.0732,0.01
470,15.666734061774067,0.1,0.0732,0.01
471,15.700067538501246,0.1,0.0732,0.01
472,15.733401015228425,0.1,0.0732,0.01
473,15.766734491955605,0.1,0.0732,0.01
474,15.800067968682782,0.1,0.0732,0.01
475,15.833401445409962,0.1,0.0717,0.01
476,15.866734922137141,0.1,0.0717,0.01
477,15.900068398864319,0.1,0.0717,0.01
478,15.933401875591498,0.1,0.0717,0.01
479,15.966735352318677,0.1,0.0717,0.01
480,16.000068829045855,0.1,0.0717,0.01
481,16.033402305773034,0.1,0.0717,0.01
482,16.066735782500214,0.1,0.071,0.01
483,16.100069259227393,0.1,0.071,0.01
484,16.133402735954572,0.1,0.071,0.01
485,16.16673621268175,0.1,0.071,0.01
486,16.20006968940893,0.1,0.071,0.01
487,16.233403166136107,0.1,0.071,0.01
488,16.266736642863286,0.1,0.071,0.01
489,16.300070119590465,0.1,0.071,0.01
490,16.333403596317645,0.1,0.0701,0.01
491,16.366737073044824,0.1,0.0701,0.01
492,16.400070549772003,0.1,0.0701,0.01
493,16.433404026499183,0.1,0.0701,0.01
494,16.46673750322636,0.1,0.0701,0.01
495,16.500070979953538,0.1,0.0701,0.01
496,16.533404456680717,0.1,0.0701,0.01
497,16.566737933407897,0.1,0.0693,0.01
498,16.600071410135076,0.1,0.0693,0.01
499,16.633404886862255,0.1,0.0693,0.01
500,16.666738363589435,0.1,0.0693,0.01
501,16.70007184031661,0.1,0.0693,0.01
502,16.73340531704379,0.1,0.0693,0.01
503,16.76673879377097,0.1,0.0693,0.01
504,16.80007227049815,0.1,0.0693,0.01
505,16.833405747225328,0.1,0.0685,0.01
506,16.866739223952507,0.1,0.0685,0.01
507,16.900072700679686,0.1,0.0685,0.01
508,16.933406177406866,0.1,0.0685,0.01
509,16.96673965413404,0.1,0.0685,0.01
510,17.00007313086122,0.1,0.0685,0.01
511,17.0334066075884,0.1,0.0685,0.01
512,17.06674008431558,0.1,0.0676,0.01
513,17.10007356104276,0.1,0.0676,0.01
514,17.13340703776994,0.1,0.0676,0.01
515,17.166740514497118,0.1,0.0676,0.01
516,17.200073991224293,0.1,0.0676,0.01
517,17.233407467951473,0.1,0.0676,0.01
518,17.266740944678652,0.1,0.0676,0.01
519,17.30007442140583,0.1,0.0676,0.01
520,17.33340789813301,0.1,0.0668,0.01
521,17.36674137486019,0.1,0.0668,0.01
522,17.40007485158737,0.1,0.0668,0.01
523,17.43340832831455,0.1,0.0668,0.01
524,17.466741805041725,0.1,0.0668,0.01
525,17.500075281768904,0.1,0.0668,0.01
526,17.533408758496083,0.1,0.0668,0.01
527,17.566742235223263,0.1,0.0668,0.01
528,17.600075711950442,0.1,0.0663,0.01
529,17.63340918867762,0.1,0.0663,0.01
530,17.6667426654048,0.1,0.0663,0.01
531,17.700076142131977,0.1,0.0663,0.01
532,17.733409618859156,0.1,0.0663,0.01
533,17.766743095586335,0.1,0.0663,0.01
534,17.800076572313515,0.1,0.0663,0.01
535,17.833410049040694,0.1,0.0653,0.01
536,17.866743525767873,0.1,0.0653,0.01
537,17.900077002495053,0.1,0.0653,0.01
538,17.93341047922223,0.1,0.0653,0.01
539,17.966743955949408,0.1,0.0653,0.01
540,18.000077432676587,0.1,0.0653,0.01
541,18.033410909403766,0.1,0.0653,0.01
542,18.066744386130946,0.1,0.0653,0.01
543,18.100077862858125,0.1,0.0653,0.01
544,18.133411339585304,0.1,0.0653,0.01
545,18.166744816312484,0.1,0.0653,0.01
546,18.20007829303966,0.1,0.0653,0.01
547,18.23341176976684,0.1,0.0653,0.01
548,18.26674524649402,0.1,0.0653,0.01
549,18.300078723221198,0.1,0.0653,0.01
550,18.333412199948377,0.1,0.0636,0.01
551,18.366745676675556,0.1,0.0636,0.01
552,18.400079153402736,0.1,0.0636,0.01
553,18.43341263012991,0.1,0.0636,0.01
554,18.46674610685709,0.1,0.0636,0.01
555,18.50007958358427,0.1,0.0636,0.01
556,18.53341306031145,0.1,0.0636,0.01
557,18.56674653703863,0.1,0.0636,0.01
558,18.600080013765808,0.1,0.0636,0.01
559,18.633413490492988,0.1,0.0636,0.01
560,18.666746967220167,0.1,0.0636,0.01
561,18.700080443947343,0.1,0.0636,0.01
562,18.733413920674522,0.1,0.0636,0.01
563,18.7667473974017,0.1,0.0636,0.01
564,18.80008087412888,0.1,0.0636,0.01
565,18.83341435085606,0.1,0.0619,0.01
566,18.86674782758324,0.1,0.0619,0.01
567,18.90008130431042,0.1,0.0619,0.01
568,18.933414781037595,0.1,0.0619,0.01
569,18.966748257764774,0.1,0.0619,0.01
570,19.000081734491953,0.1,0.0619,0.01
571,19.033415211219133,0.1,0.0619,0.01
572,19.066748687946312,0.1,0.061,0.01
573,19.10008216467349,0.1,0.0603,0.01
574,19.13341564140067,0.1,0.0603,0.01
575,19.16674911812785,0.1,0.0603,0.01
576,19.200082594855026,0.1,0.0603,0.01
577,19.233416071582205,0.1,0.0603,0.01
578,19.266749548309384,0.1,0.0603,0.01
579,19.300083025036564,0.1,0.0603,0.01
580,19.333416501763743,0.1,0.0602,0.01
581,19.366749978490923,0.1,0.0602,0.01
582,19.400083455218102,0.1,0.0602,0.01
583,19.433416931945278,0.1,0.0602,0.01
584,19.466750408672457,0.1,0.0602,0.01
585,19.500083885399636,0.1,0.0602,0.01
586,19.533417362126816,0.1,0.0602,0.01
587,19.566750838853995,0.1,0.0594,0.01
588,19.600084315581174,0.1,0.0594,0.01
589,19.633417792308354,0.1,0.0594,0.01
590,19.66675126903553,0.1,0.0594,0.01
591,19.70008474576271,0.1,0.0594,0.01
592,19.733418222489888,0.1,0.0594,0.01
593,19.766751699217068,0.1,0.0594,0.01
594,19.800085175944247,0.1,0.0594,0.01
595,19.833418652671426,0.1,0.0586,0.01
596,19.866752129398606,0.1,0.0586,0.01
597,19.900085606125785,0.1,0.0586,0.01
598,19.93341908285296,0.1,0.0586,0.01
599,19.96675255958014,0.1,0.0586,0.01
600,20.00008603630732,0.1,0.0586,0.01
601,20.0334195130345,0.1,0.0586,0.01
